,release_year,title,poster_path
0,2025,Karate Kid: Legends,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/AEgggzRr1vZCLY86MAp93li43z.jpg
1,2025,Ballerina,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/2VUmvqsHb6cEtdfscEA6fqqVzLg.jpg
2,2025,Superman,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/ombsmhYUqR4qqOLOxAyr5V8hbyv.jpg
3,2025,Ice Road: Vengeance,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/cQN9rZj06rXMVkk76UF1DfBAico.jpg
4,2025,Almost Cops,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/7bcndiaTgu1Kj5a6qyCmsWYdtI.jpg
5,2025,The Old Guard 2,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/wqfu3bPLJaEWJVk3QOm0rKhxf1A.jpg
6,2025,Heads of State,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg
7,2025,Jurassic World Rebirth,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/q0fGCmjLu42MPlSO9OYWpI5w86I.jpg
8,2025,Thunderbolts*,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/hqcexYHbiTBfDIdDWxrxPtVndBX.jpg
9,2025,Ziam,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/yHYj2t3NzsjkHVYa0bPri4sMBsg.jpg
10,2025,Final Destination Bloodlines,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg
11,2025,Dora and the Search for Sol Dorado,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/r3d6u2n7iPoWNsSWwlJJWrDblOH.jpg
12,2025,Lilo & Stitch,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/tUae3mefrDVTgm5mRzqWnZK6fOP.jpg
13,2025,KPop Demon Hunters,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/43c1efKzA1kigNzY0HBzeoXp8LR.jpg
14,2025,How to Train Your Dragon,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/3lwlJL8aW6Wor9tKvME8VoMnBkn.jpg
15,2025,Bring Her Back,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/tObSf1VzzHt9xB0csanFtb3DRjf.jpg
16,2025,F1,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg
17,2024,The Hangman,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/rij9Eh4RVXyPet8A1BNU8pDvtmu.jpg
18,2025,Muromachi Burai,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/6U0i0HsSCvhRW4IpGzdead6QRo3.jpg
19,2023,Influencer,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/mtXV301BF7pqwvRjsWhQo6sD10F.jpg
20,2025,The Ritual,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/ktqPs5QyuF8SpKnipvVHb3fwD8d.jpg
21,2025,Z-O-M-B-I-E-S 4: Dawn of the Vampires,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/qIipTUGmAVjMH7ERtdzKkPuVYhP.jpg
22,2025,Sinners,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/4CkZl1LK6a5rXBqJB2ZP77h3N5i.jpg
23,2002,xXx,https://image.tmdb.org/t/p/originalhttps://image.tmdb.org/t/p/original/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg
